Patient ID,association,dataset,threshold value,standardized value,,,,,,,,,
I15397,expresses,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15398,Liver hepatocellular carcinoma_LIHC_TCGA-CC-A9FS-01A-11R-A37K-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15399,decreased gamma-delta t cell number,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I15400,Autonomic Nervous System Diseases,CTD Gene-Disease Associations,1,1.76405,,,,,,,,,
I15401,schizophrenic,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15402,Methylprednisolone,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15403,sustained,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15404,decreased gamma-delta intraepithelial t cell number,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I15405,Malignant Peripheral Nerve Sheath Tumor,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15406,Adenocarcinoma,CTD Gene-Disease Associations,1,2.3517,,,,,,,,,
I15407,Stage 0 Gallbladder Cancer Ajcc V8,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15408,Lung adenocarcinoma_LUAD_TCGA-86-8671-01A-11R-2403-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15409,cardiotoxicity,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15410,FASTKD1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15411,Carcinoma,,,,,,,,,,,,
I15412,Acidosis,CTD Gene-Disease Associations,1,1.41202,,,,,,,,,
I15413,bronchial epithelial cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.171212,,,,,,,,,
I15414,Technetium Tc 99m Sestamibi,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15415,mean,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15416,KIF20B,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15417,sav1866,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15418,DMS53,CCLE Cell Line Gene Expression Profiles,1,1.57396,,,,,,,,,
I15419,doxorubicin,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15420,later,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15421,Chondrosarcoma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15422,Ovarian Neoplasm,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15423,precursor cell lymphoblastic leukemia-lymphoma,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15424,Testicular Diseases,CTD Gene-Disease Associations,1,2.01828,,,,,,,,,
I15425,relationships,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15426,Bromocriptine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15427,MAGEA8,MSigDB Cancer Gene Co-expression Modules,1,null,,,,,,,,,
I15428,ZZEF1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15429,BRD-K02822062_CT-200783_VCAP_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15430,Kidney renal clear cell carcinoma_KIRC_TCGA-CZ-5452-11A-01R-1503-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15431,Schwartz-Jampel Syndrome,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15432,membrane part,COMPARTMENTS Curated Protein Localization Evidence Scores,1,0.098109,,,,,,,,,
I15433,abcg2,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15434,estradiol_mus musculus_gpl4134_gse23241,GEO Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15435,BRD-A39996500_radicicol_SKBR3_3_h_10_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15436,LS513,CCLE Cell Line Gene Expression Profiles,1,1.38667,,,,,,,,,
I15437,myasthenia gravis,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15438,substance-related disorder,GWASdb SNP-Disease Associations,1,0.118668,,,,,,,,,
I15439,conformational,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15440,Hyperammonemia,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I15441,pancreatic cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.515317,,,,,,,,,
I15442,hiv,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15443,apoptosis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15444,Quinine,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15445,GTEX-P4QR-0008-SM-48TE2,GTEx Tissue Sample Gene Expression Profiles,-1,-1.53364,,,,,,,,,
I15446,GTEX-OIZG-0008-SM-4E3J2,GTEx Tissue Sample Gene Expression Profiles,-1,-1.59157,,,,,,,,,
I15447,MDA-MB-468,Klijn et al.,,,,,,,,,,,
I15448,head and neck squamous cell carcinoma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.130452,,,,,,,,,
I15449,interpeduncular nucleus,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.16048,,,,,,,,,
I15450,Hypotension,,,,,,,,,,,,
I15451,SHANK2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15452,potassium,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15453,lowdose,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15454,PMC5787446__F3,Wikipathways PFOCR,1,null,,,,,,,,,
I15455,BCAT_GDS748,MSigDB Signatures of Differentially Expressed Genes for Cancer Gene Perturbations,1,null,,,,,,,,,
I15456,Liver hepatocellular carcinoma_LIHC_TCGA-G3-AAV4-01A-11R-A38B-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15457,fooddrug,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15458,vesicle,COMPARTMENTS Curated Protein Localization Evidence Scores,1,0.663342,,,,,,,,,
I15459,triggering,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15460,TENM2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15461,cancer stem cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.09518,,,,,,,,,
I15462,H3K27me3_erythroblast_mm9_3,ENCODE Transcription Factor Binding Site Profiles,1,null,,,,,,,,,
I15463,4-Hydroxycyclophosphamide,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15464,Hyperglycemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15465,orbital frontal cortex_4 mos_M_12889,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,1.32206,,,,,,,,,
I15466,signalling,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15467,folding,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15468,predictor,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15469,acute myeloid leukemia cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.18113,,,,,,,,,
I15470,PRKACA,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15471,clopidogrel,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15472,mdr1,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15473,programs,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15474,marrow,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15475,Depression,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I15476,PMC3734218__F1,Wikipathways PFOCR,1,null,,,,,,,,,
I15477,mesangial cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.233446,,,,,,,,,
I15478,PTBP1,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15479,neutropenia,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15480,BRD-A65767837_HYDROCORTISONE ACETATE_A549_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15481,KYSE30,Achilles Cell Line Gene Essentiality Profiles,1,1.13089,,,,,,,,,
I15482,inferolateral temporal cortex (area TEv,,,,,,,,,,,,
I15483,HCC1395,COSMIC Cell Line Gene CNV Profiles,1,2.36889,,,,,,,,,
I15484,anxa2,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15485,beta5i,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15486,sexual,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15487,Nuchal Cord,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I15488,MAFA,MotifMap Predicted Transcription Factor Targets,1,null,,,,,,,,,
I15489,peripheral neuropathy,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.571495,,,,,,,,,
I15490,Toremifene,DrugBank Drug Targets,1,null,,,,,,,,,
I15491,cnidiadin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15492,GTEX-UJMC-1826-SM-3GADT,GTEx Tissue Sample Gene Expression Profiles,-1,-1.0494,,,,,,,,,
I15493,influenced,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15494,han,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15495,Squamous Cell Carcinoma Of The Head And Neck,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15496,MYO1D,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15497,quantitative,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15498,VIIIB,,,,,,,,,,,,
I15499,Alopecia,CTD Gene-Disease Associations,1,2.30158,,,,,,,,,
I15500,initial,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15501,ZNF703,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15502,frequencies,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15503,Pulmonary Emphysema,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15504,driven,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15505,display,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15506,BICR16,CCLE Cell Line Gene CNV Profiles,1,1.4712,,,,,,,,,
I15507,recognition,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15508,pharmakokinetics,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15509,nose disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.059959,,,,,,,,,
I15510,milbemycin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15511,familial mediterranean fever,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15512,intervals,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15513,hemolytic anemia,GWASdb SNP-Disease Associations,1,0.627673,,,,,,,,,
I15514,Child Development Disorders,,,,,,,,,,,,
I15515,recurrent,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15516,cerebellum_13 pcw_M_12888,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,-1,-1.7852,,,,,,,,,
I15517,Drug Hypersensitivity,CTD Gene-Disease Associations,1,2.42598,,,,,,,,,
I15518,CTSB,MSigDB Cancer Gene Co-expression Modules,1,null,,,,,,,,,
I15519,coding,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15520,tooth disease,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.054577,,,,,,,,,
I15521,epilepsy,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15522,motor nucleus of trigeminal nerve,,,,,,,,,,,,
I15523,hypercholesterolemia; drug hypersensitivity,GAD Gene-Disease Associations,1,null,,,,,,,,,
I15524,fmo3g488a,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15525,Asthma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15526,ileum,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15527,chaperones,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15528,T84,Klijn et al.,,,,,,,,,,,
I15529,usage,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15530,k-562/r7 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,1.15584,,,,,,,,,
I15531,Ouabain,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15532,Hot Flashes,CTD Gene-Disease Associations,1,1.10353,,,,,,,,,
I15533,cyclic-amp-dependent-protein-kinases,Phosphosite Textmining Biological Term Annotations,1,null,,,,,,,,,
I15534,MZ in retrosplenial cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.01994,,,,,,,,,
I15535,Coronary Stenosis,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I15536,topo,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15537,carcinoma cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,2.61816,,,,,,,,,
I15538,delta,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15539,mouse,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15540,transplant,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15541,analyzed,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15542,EGR1,CHEA Transcription Factor Targets,1,null,,,,,,,,,
I15543,mexican,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15544,Pimozide,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15545,Reperfusion Injury,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15546,alpha,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15547,symptoms,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15548,NCI-H510A,COSMIC Cell Line Gene Mutation Profiles,1,null,,,,,,,,,
I15549,cytoplasmic membrane-bounded vesicle,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.054421,,,,,,,,,
I15550,Hyperthyroidism,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15551,structure,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15552,maintain,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15553,chorion,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.189348,,,,,,,,,
I15554,glycosphingolipids,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15555,gravis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15556,18338247-SuppTable4B,GeneSigDB Published Gene Signatures,1,null,,,,,,,,,
I15557,BRD-K78659596_MLN2238_A673_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15558,abnormal physiological response to xenobiotic,MPO Gene-Phenotype Associations,1,null,,,,,,,,,
I15559,Myocardial Infarction,CTD Gene-Disease Associations,1,2.52322,,,,,,,,,
I15560,disease of cellular proliferation,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,2.5661,,,,,,,,,
I15561,BRD-K25737009_-666_SW480_6.0_h_40.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15562,Carbamazepine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15563,populations,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15564,Mesothelioma_MESO_TCGA-LK-A4NZ-01A-12R-A34F-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15565,Pain,,,,,,,,,,,,
I15566,SMC6,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15567,slightly,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15568,SG in dysgranular insular cortex,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,1.92104,,,,,,,,,
I15569,primarily,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15570,minimizing,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15571,ulcer,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15572,hlac-78 cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.641643,,,,,,,,,
I15573,lines,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15574,ratios,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15575,myeloid progenitor cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.162072,,,,,,,,,
I15576,JHH2,CCLE Cell Line Gene CNV Profiles,1,1.61407,,,,,,,,,
I15577,characterization,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15578,GTEX-P44H-0426-SM-2XCEZ,GTEx Tissue Sample Gene Expression Profiles,-1,-0.85773,,,,,,,,,
I15579,risks,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15580,prevented,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15581,GTEX-UTHO-0011-R2A-SM-3GIKC,GTEx Tissue Sample Gene Expression Profiles,1,1.33098,,,,,,,,,
I15582,critically,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15583,cervical adenocarcinoma cell line,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.72647,,,,,,,,,
I15584,Mercury Poisoning,CTD Gene-Disease Associations,1,1.22436,,,,,,,,,
I15585,Drug Overdose,CTD Gene-Disease Associations,1,2.44677,,,,,,,,,
I15586,2-Hydroxychlorpropamide,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15587,Flutamide,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15588,RMUGS,CCLE Cell Line Gene CNV Profiles,-1,-1.46164,,,,,,,,,
I15589,forebrain,TISSUES Experimental Tissue Protein Expression Evidence Scores,1,0.766457,,,,,,,,,
I15590,brain,TISSUES Curated Tissue Protein Expression Evidence Scores,1,null,,,,,,,,,
I15591,small cell lung cancer cell,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.906682,,,,,,,,,
I15592,Stage Iia Gallbladder Cancer Ajcc V8,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15593,Colchicine Resistance,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I15594,zosuquidar,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15595,Rectal Neoplasms,HuGE Navigator Gene-Phenotype Associations,1,null,,,,,,,,,
I15596,dentate nucleus,,,,,,,,,,,,
I15597,Depressive Disorder,CTD Gene-Disease Associations,1,2.52309,,,,,,,,,
I15598,BRD-K53414658_tivozanib_HEPG2_24_h_0.12_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15599,gut wall,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.613361,,,,,,,,,
I15600,COLO704,Achilles Cell Line Gene Essentiality Profiles,-1,-1.09703,,,,,,,,,
I15601,Prazosin,CTD Gene-Chemical Interactions,1,null,,,,,,,,,
I15602,Lung squamous cell carcinoma_LUSC_TCGA-51-4080-11A-01R-1758-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15603,Coumarin Resistance,DisGeNET Gene-Phenotype Associations,1,null,,,,,,,,,
I15604,GTEX-RM2N-0926-SM-48FD1,GTEx Tissue Sample Gene Expression Profiles,1,1.2528,,,,,,,,,
I15605,A3KAW,CCLE Cell Line Gene CNV Profiles,-1,-1.75678,,,,,,,,,
I15606,extracellular matrix,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.212974,,,,,,,,,
I15607,transport,GO Biological Process Annotations,1,null,,,,,,,,,
I15608,ascites,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.725685,,,,,,,,,
I15609,Neuroepithelioma,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15610,Prostate adenocarcinoma_PRAD_TCGA-EJ-7792-01A-11R-2118-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15611,requirement,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15612,arthritis,GWASdb SNP-Disease Associations,1,0.286244,,,,,,,,,
I15613,BRD-K11636097_S1249_A549_24.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,,,,,,,,,
I15614,CAV1,Hub Proteins Protein-Protein Interactions,1,null,,,,,,,,,
I15615,Lipomatosis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15616,Idiopathic Pulmonary Arterial Hypertension,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15617,many,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15618,Pancolitis,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15619,GTEX-PVOW-0011-R1A-SM-32PL6,GTEx Tissue Sample Gene Expression Profiles,1,1.09681,,,,,,,,,
I15620,Brain Lower Grade Glioma_LGG_TCGA-HT-8018-01A-11R-2404-07,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,,,,,,,,,
I15621,participating,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15622,homozygosity,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15623,concomitant,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15624,GTEX-X5EB-2326-SM-46MW5,GTEx Tissue Sample Gene Expression Profiles,-1,-1.61434,,,,,,,,,
I15625,Clomifene,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15626,unrelated,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15627,renal,GAD High Level Gene-Disease Associations,1,0.331705,,,,,,,,,
I15628,mrp3,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15629,needed,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15630,BRD-K92991072_PAC 1_OV7_6.0_h_10.0_um,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,,,,,,,,,
I15631,Secondary Acute Myeloid Leukemia,DisGeNET Gene-Disease Associations,1,null,,,,,,,,,
I15632,GTEX-NPJ7-0011-R1a-SM-3GACT,GTEx Tissue Sample Gene Expression Profiles,1,1.14365,,,,,,,,,
I15633,Psychomotor Agitation,CTD Gene-Disease Associations,1,2.10195,,,,,,,,,
I15634,PMC8036376__F1,Wikipathways PFOCR,1,null,,,,,,,,,
I15635,PDK1_knockout_80_GSE26290,GEO Signatures of Differentially Expressed Genes for Kinase Perturbations,1,0.082691,,,,,,,,,
I15636,Reboxetine,HMDB Metabolites of Enzymes,1,null,,,,,,,,,
I15637,NOMO2,Pathway Commons Protein-Protein Interactions,1,null,,,,,,,,,
I15638,tuberculosis,GeneRIF Biological Term Annotations,1,null,,,,,,,,,
I15639,hsa-miR-129-5p,TargetScan Predicted Nonconserved microRNA Targets,1,1.40969,,,,,,,,,
