Patient ID,association,dataset,threshold value,standardized value
I8398,TargetScan Predicted Conserved microRNA Targets,1,0.436802,
I8399,COSMIC Cell Line Gene CNV Profiles,1,2.39327,
I8400,,,,
I8401,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8402,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.2895,
I8403,TargetScan Predicted Nonconserved microRNA Targets,1,0.809003,
I8404,Pathway Commons Protein-Protein Interactions,1,null,
I8405,CHEA Transcription Factor Targets,1,null,
I8406,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8407,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.124902,
I8408,ENCODE Histone Modification Site Profiles,1,null,
I8409,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8410,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8411,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8412,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,0.926506,
I8413,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I8414,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8415,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.094136,
I8416,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.08348,
I8417,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8418,GeneRIF Biological Term Annotations,1,null,
I8419,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8420,DisGeNET Gene-Disease Associations,1,null,
I8421,CCLE Cell Line Gene Expression Profiles,-1,-2.32341,
I8422,GTEx Tissue Sample Gene Expression Profiles,-1,-1.07907,
I8423,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8424,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8425,Pathway Commons Protein-Protein Interactions,1,null,
I8426,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8427,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I8428,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8429,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8430,DisGeNET Gene-Disease Associations,1,null,
I8431,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.390455,
I8432,CHEA Transcription Factor Binding Site Profiles,1,null,
I8433,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8434,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8435,Pathway Commons Protein-Protein Interactions,1,null,
I8436,GO Molecular Function Annotations,1,null,
I8437,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8438,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8439,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8440,LOCATE Predicted Protein Localization Annotations,1,null,
I8441,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8442,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq,1,1.43895,
I8443,Klijn et al.,,,
I8444,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8445,GTEx Tissue Sample Gene Expression Profiles,-1,-0.982367,
I8446,GTEx Tissue Sample Gene Expression Profiles,1,1.1853,
I8447,Pathway Commons Protein-Protein Interactions,1,null,
I8448,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8449,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8450,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8451,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8452,Pathway Commons Protein-Protein Interactions,1,null,
I8453,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,-1,-1.10171,
I8454,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8455,Klijn et al.,,,
I8456,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8457,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8458,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8459,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.308251,
I8460,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.082865,
I8461,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8462,GTEx Tissue Sample Gene Expression Profiles,1,0.861094,
I8463,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8464,Pathway Commons Protein-Protein Interactions,1,null,
I8465,GTEx Tissue Sample Gene Expression Profiles,-1,-0.95989,
I8466,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8467,Klijn et al.,,,
I8468,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8469,GTEx Tissue Sample Gene Expression Profiles,1,0.866033,
I8470,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8471,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8472,ENCODE Transcription Factor Targets,1,null,
I8473,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8474,TargetScan Predicted Conserved microRNA Targets,1,0.31417,
I8475,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.315366,
I8476,GEO Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8477,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8478,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8479,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8480,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8481,GeneRIF Biological Term Annotations,1,null,
I8482,GeneRIF Biological Term Annotations,1,null,
I8483,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8484,CTD Gene-Disease Associations,1,1.05757,
I8485,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8486,JASPAR Predicted Transcription Factor Targets,1,null,
I8487,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8488,GTEx Tissue Sample Gene Expression Profiles,-1,-2.0179,
I8489,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8490,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8491,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8492,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8493,CCLE Cell Line Gene CNV Profiles,-1,-2.92949,
I8494,GTEx Tissue Sample Gene Expression Profiles,1,0.872565,
I8495,Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray,1,0.836527,
I8496,GTEx Tissue Sample Gene Expression Profiles,1,1.80851,
I8497,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8498,GTEx Tissue Sample Gene Expression Profiles,1,0.910744,
I8499,GeneRIF Biological Term Annotations,1,null,
I8500,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8501,Pathway Commons Protein-Protein Interactions,1,null,
I8502,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8503,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.729385,
I8504,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8505,TargetScan Predicted Conserved microRNA Targets,1,1.45615,
I8506,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.897646,
I8507,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8508,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8509,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8510,GTEx Tissue Gene Expression Profiles,-1,-0.943139,
I8511,TISSUES Text-mining Tissue Protein Expression Evidence Scores,1,0.224645,
I8512,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8513,GEO Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8514,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8515,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8516,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8517,Pathway Commons Protein-Protein Interactions,1,null,
I8518,GTEx Tissue Sample Gene Expression Profiles,-1,-1.52806,
I8519,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8520,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8521,CTD Gene-Disease Associations,1,1.45697,
I8522,GTEx Tissue Sample Gene Expression Profiles,-1,-1.03748,
I8523,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8524,CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8525,GeneRIF Biological Term Annotations,1,null,
I8526,TargetScan Predicted Conserved microRNA Targets,1,0.37496,
I8527,TargetScan Predicted Nonconserved microRNA Targets,1,0.843347,
I8528,ENCODE Transcription Factor Targets,1,null,
I8529,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8530,Pathway Commons Protein-Protein Interactions,1,null,
I8531,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8532,Pathway Commons Protein-Protein Interactions,1,null,
I8533,Pathway Commons Protein-Protein Interactions,1,null,
I8534,Pathway Commons Protein-Protein Interactions,1,null,
I8535,GTEx Tissue Sample Gene Expression Profiles,1,1.03336,
I8536,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-1.08764,
I8537,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,0.068938,
I8538,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8539,CHEA Transcription Factor Targets,1,null,
I8540,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8541,Achilles Cell Line Gene Essentiality Profiles,1,2.22211,
I8542,GO Biological Process Annotations,1,null,
I8543,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8544,CTD Gene-Disease Associations,1,1.16401,
I8545,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8546,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8547,CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8548,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8549,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8550,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,1,0.866749,
I8551,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8552,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8553,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8554,Pathway Commons Protein-Protein Interactions,1,null,
I8555,Roadmap Epigenomics Cell and Tissue DNA Methylation Profiles,1,1.00506,
I8556,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,0.258381,
I8557,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8558,CCLE Cell Line Gene Expression Profiles,-1,-1.65678,
I8559,GTEx Tissue Sample Gene Expression Profiles,1,0.91609,
I8560,GeneRIF Biological Term Annotations,1,null,
I8561,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.19748,
I8562,Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles,-1,-0.830462,
I8563,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8564,CTD Gene-Disease Associations,1,1.21402,
I8565,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8566,ENCODE Transcription Factor Targets,1,null,
I8567,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8568,Pathway Commons Protein-Protein Interactions,1,null,
I8569,,,,
I8570,CCLE Cell Line Gene Expression Profiles,1,1.62452,
I8571,ENCODE Transcription Factor Targets,1,null,
I8572,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8573,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8574,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8575,Pathway Commons Protein-Protein Interactions,1,null,
I8576,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8577,TCGA Signatures of Differentially Expressed Genes for Tumors,1,null,
I8578,GTEx Tissue Sample Gene Expression Profiles,-1,-1.22034,
I8579,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8580,CTD Gene-Disease Associations,1,2.07288,
I8581,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8582,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,1,null,
I8583,TargetScan Predicted Nonconserved microRNA Targets,1,0.921135,
I8584,,,,
I8585,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8586,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8587,GTEx Tissue Sample Gene Expression Profiles,1,0.916134,
I8588,GEO Signatures of Differentially Expressed Genes for Gene Perturbations,-1,null,
I8589,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8590,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8591,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8592,GTEx Tissue Sample Gene Expression Profiles,1,0.862671,
I8593,,,,
I8594,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8595,BioGPS Mouse Cell Type and Tissue Gene Expression Profiles,1,1.07371,
I8596,CTD Gene-Chemical Interactions,1,null,
I8597,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8598,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8599,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8600,ESCAPE Omics Signatures of Genes and Proteins for Stem Cells,1,null,
I8601,DISEASES Text-mining Gene-Disease Assocation Evidence Scores,1,1.73595,
I8602,TargetScan Predicted Conserved microRNA Targets,1,0.257113,
I8603,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8604,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8605,GO Biological Process Annotations,1,null,
I8606,GTEx Tissue Sample Gene Expression Profiles,-1,-1.12068,
I8607,ENCODE Transcription Factor Binding Site Profiles,1,null,
I8608,Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles,1,1.33503,
I8609,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,1,null,
I8610,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
I8611,COMPARTMENTS Text-mining Protein Localization Evidence Scores,1,1.84497,
I8612,GTEx Tissue Sample Gene Expression Profiles,-1,-1.14883,
I8613,LINCS L1000 CMAP Signatures of Differentially Expressed Genes for Small Molecules,-1,null,
